id_event,sort_order,time,text,event_type,side,event_team,opponent,player,fastBreak
653,80,49,Foul by Tomas Pekhart (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,tomas pekhart,0
654,81,50,Foul by Peter Niemeyer (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,peter niemeyer,0
655,82,50,Tomas Pekhart (FC Nurnberg) wins a free kick in the attacking half.,8,2,Nurnberg,Hertha Berlin,tomas pekhart,0
656,83,50,Attempt saved. Timmy Simons (FC Nurnberg) header from the centre of the box is saved in the centre of the goal. Assisted by Markus Feulner.,1,2,Nurnberg,Hertha Berlin,timmy simons,0
657,84,51,Timothy Chandler (FC Nurnberg) wins a free kick on the right wing.,8,2,Nurnberg,Hertha Berlin,timothy chandler,0
658,85,52,Foul by Levan Kobiashvili (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,levan kobiashvili,0
659,86,52,Levan Kobiashvili (Hertha Berlin) is shown the yellow card.,4,1,Hertha Berlin,Nurnberg,levan kobiashvili,0
660,87,52,"Offside, FC Nurnberg. Markus Mendler tries a through ball, but Tomas Pekhart is caught offside.",9,2,Nurnberg,Hertha Berlin,tomas pekhart,0
661,88,52,Markus Mendler (FC Nurnberg) wins a free kick on the right wing.,8,2,Nurnberg,Hertha Berlin,markus mendler,0
662,89,53,Attempt saved. Markus Mendler (FC Nurnberg) left footed shot from long range on the right is saved in the bottom right corner.,1,2,Nurnberg,Hertha Berlin,markus mendler,0
663,90,54,Christian Lell (Hertha Berlin) wins a free kick in the defensive half.,8,1,Hertha Berlin,Nurnberg,christian lell,0
664,91,54,Foul by Tomas Pekhart (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,tomas pekhart,0
665,92,58,Attempt saved. Markus Feulner (FC Nurnberg) left footed shot from outside the box is saved in the bottom right corner. Assisted by Timothy Chandler.,1,2,Nurnberg,Hertha Berlin,markus feulner,0
666,93,60,Foul by Raffael (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,raffael,0
667,94,60,Philipp Wollscheid (FC Nurnberg) wins a free kick in the defensive half.,8,2,Nurnberg,Hertha Berlin,philipp wollscheid,0
668,95,61,Attempt saved. Tomas Pekhart (FC Nurnberg) header from the centre of the box is saved in the centre of the goal. Assisted by Christian Eigler with a cross.,1,2,Nurnberg,Hertha Berlin,tomas pekhart,0
669,96,62,"Offside, Hertha Berlin. Adrian Ramos tries a through ball, but Raffael is caught offside.",9,1,Hertha Berlin,Nurnberg,raffael,0
670,97,64,Peter Niemeyer (Hertha Berlin) wins a free kick in the defensive half.,8,1,Hertha Berlin,Nurnberg,peter niemeyer,0
671,98,64,Foul by Markus Feulner (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,markus feulner,0
672,99,65,Maik Franz (Hertha Berlin) wins a free kick in the defensive half.,8,1,Hertha Berlin,Nurnberg,maik franz,0
673,100,65,Foul by Tomas Pekhart (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,tomas pekhart,0
674,101,66,Adrian Ramos (Hertha Berlin) wins a free kick in the defensive half.,8,1,Hertha Berlin,Nurnberg,adrian ramos,0
675,102,66,Foul by Timothy Chandler (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,timothy chandler,0
676,103,67,Pierre-Michel Lasogga (Hertha Berlin) wins a free kick on the right wing.,8,1,Hertha Berlin,Nurnberg,pierremichel lasogga,0
677,104,67,Foul by Almog Cohen (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,almog cohen,0
678,105,67,Almog Cohen (FC Nurnberg) is shown the yellow card for a bad foul.,4,2,Nurnberg,Hertha Berlin,almog cohen,0
679,106,68,"Corner,  Hertha Berlin. Conceded by Timm Klose.",2,1,Hertha Berlin,Nurnberg,timm klose,0
680,107,68,Attempt missed. Pierre-Michel Lasogga (Hertha Berlin) right footed shot from the centre of the box is high and wide to the right following a corner.,1,1,Hertha Berlin,Nurnberg,pierremichel lasogga,0
681,108,71,"Offside, FC Nurnberg. Timothy Chandler tries a through ball, but Tomas Pekhart is caught offside.",9,2,Nurnberg,Hertha Berlin,tomas pekhart,0
682,109,71,"Substitution, FC Nurnberg. Alexander Esswein replaces Christian Eigler.",7,2,Nurnberg,Hertha Berlin,NA,0
683,110,76,"Substitution, Hertha Berlin. Nikita Rukavytsya replaces Patrick Ebert.",7,1,Hertha Berlin,Nurnberg,NA,0
684,111,76,Attempt missed. Timothy Chandler (FC Nurnberg) left footed shot from outside the box misses to the left.,1,2,Nurnberg,Hertha Berlin,timothy chandler,0
685,112,77,Foul by Andreas Ottl (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,andreas ottl,0
686,113,77,Almog Cohen (FC Nurnberg) wins a free kick in the attacking half.,8,2,Nurnberg,Hertha Berlin,almog cohen,0
687,114,80,"Goal!  Hertha Berlin 0, FC Nurnberg 1. Tomas Pekhart (FC Nurnberg) left footed shot from the centre of the box to the bottom left corner. Assisted by Jens Hegeler.",1,2,Nurnberg,Hertha Berlin,tomas pekhart,0
688,115,80,"Substitution, FC Nurnberg. Jens Hegeler replaces Markus Feulner.",7,2,Nurnberg,Hertha Berlin,NA,0
689,116,83,Foul by Pierre-Michel Lasogga (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,pierremichel lasogga,0
690,117,83,Almog Cohen (FC Nurnberg) wins a free kick in the defensive half.,8,2,Nurnberg,Hertha Berlin,almog cohen,0
691,118,84,Pierre-Michel Lasogga (Hertha Berlin) wins a free kick on the right wing.,8,1,Hertha Berlin,Nurnberg,pierremichel lasogga,0
692,119,84,Foul by Timm Klose (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,timm klose,0
693,120,85,Foul by Levan Kobiashvili (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,levan kobiashvili,0
694,121,85,Timothy Chandler (FC Nurnberg) wins a free kick on the right wing.,8,2,Nurnberg,Hertha Berlin,timothy chandler,0
695,122,86,"Corner,  Hertha Berlin. Conceded by Timothy Chandler.",2,1,Hertha Berlin,Nurnberg,timothy chandler,0
696,123,87,Attempt missed. Nikita Rukavytsya (Hertha Berlin) left footed shot from outside the box is high and wide to the left following a corner.,1,1,Hertha Berlin,Nurnberg,nikita rukavytsya,0
697,124,88,Foul by Nikita Rukavytsya (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,nikita rukavytsya,0
698,125,88,Thomas Kraft (Hertha Berlin) wins a free kick in the defensive half.,8,1,Hertha Berlin,Nurnberg,thomas kraft,0
699,126,88,Timmy Simons (FC Nurnberg) wins a free kick in the attacking half.,8,2,Nurnberg,Hertha Berlin,timmy simons,0
700,127,88,Foul by Tomas Pekhart (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,tomas pekhart,0
701,128,89,Foul by Alexander Esswein (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,alexander esswein,0
702,129,89,Alexander Esswein (FC Nurnberg) is shown the yellow card for a bad foul.,4,2,Nurnberg,Hertha Berlin,alexander esswein,0
703,130,90,Attempt blocked. Levan Kobiashvili (Hertha Berlin) left footed shot from outside the box is blocked.,1,1,Hertha Berlin,Nurnberg,levan kobiashvili,0
704,131,90,Foul by Adrian Ramos (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,adrian ramos,0
705,132,90,Maik Franz (Hertha Berlin) wins a free kick in the defensive half.,8,1,Hertha Berlin,Nurnberg,maik franz,0
706,133,90,"Substitution, FC Nurnberg. Daniel Didavi replaces Markus Mendler.",7,2,Nurnberg,Hertha Berlin,NA,0
707,134,90,Jens Hegeler (FC Nurnberg) wins a free kick in the defensive half.,8,2,Nurnberg,Hertha Berlin,jens hegeler,0
708,135,90,Foul by Tomas Pekhart (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,tomas pekhart,0
709,1,2,Foul by Fabrice Ehret (Evian Thonon Gaillard).,3,2,Evian Thonon Gaillard,Brest,fabrice ehret,0
710,2,2,Nolan Roux (Brest) wins a free kick on the right wing.,8,1,Brest,Evian Thonon Gaillard,nolan roux,0
711,3,2,"Offside, Brest. Ousmane Coulibaly tries a through ball, but Jonathan AyitA?? is caught offside.",9,1,Brest,Evian Thonon Gaillard,jonathan ayite,0
712,4,4,"Offside, Evian Thonon Gaillard. Sidney Govou tries a through ball, but Youssef Adnane is caught offside.",9,2,Evian Thonon Gaillard,Brest,youssef adnane,0
713,5,8,Foul by Eric TiA?? Bi (Evian Thonon Gaillard).,3,2,Evian Thonon Gaillard,Brest,eric tie bi,0
714,6,8,Nolan Roux (Brest) wins a free kick on the left wing.,8,1,Brest,Evian Thonon Gaillard,nolan roux,0
715,7,9,Benoit Lesoimier (Brest) wins a free kick in the attacking half.,8,1,Brest,Evian Thonon Gaillard,benoit lesoimier,0
716,8,9,Attempt missed. Bruno Grougi (Brest) right footed shot from outside the box is too high.,1,1,Brest,Evian Thonon Gaillard,bruno grougi,0
